serial_number,asset_tag_id,device_name,mac_address,manufacturer,model,hardware_specs,attached_peripheral_devices,asset_category,asset_subcategory,related_po_number,vendor,purchase_date,purchase_cost,cost_center,warranty_term,warranty_expiry_date,support_agreements,assigned_user,recently_logged_in_users,last_found_ip_address,assigned_location,discovered_location,lifecycle_status,technical_sme,installed_os,installed_software,related_it_tickets,maintenance_count,environmental_conditions,hardware_specs_quality,asset_age_days,under_warranty,days_since_last_login,num_installed_software,hardware_power_score,location_match
8c0907e5-87ef-4852-aa82-c442513cebe1,d04080be-6436-412d-918f-25e1127659f9,author,34:5f:c0:01:05:f5,lenovo,modelc,"16GB, 1TB HDD, Intel i5/AMD RX 580",Monitor,printer,laser,1f669bba-0712-42dd-8957-58da7412e29b,"adams, white and cook",2022-08-14,3728.63,marketing,3 years,2025-08-14,Extended Support,garrett robertson,"Reginald Skinner, Alexander Russell, John Johnston",196.151.130.31,new york,new york,In Maintenance,john doe,windows 11,Adobe Photoshop,133e18dc-73f6-46ce-9094-ba7950e6e0a8,2,low,high,699,1,,1,5,1
a3d2ac02-5f26-4c54-a407-42284770d613,4d9e09dd-2378-47d0-8f02-dc8c32e58cfd,want,b0:03:e2:7e:c7:41,lenovo,modelb,"32GB, 256GB SSD, AMD Ryzen 5/AMD RX 580",Monitor,printer,inkjet,8eccb58c-86df-4e5a-b59f-6a7bb9c6f2cb,clements llc,2021-10-25,1477.33,it,1 years,2022-10-25,Extended Support,michele lopez,"Jimmy Torres, Patrick Wood, Brittany Davidson",42.153.128.136,new york,new york,In Maintenance,robert brown,linux,"Visual Studio, Adobe Photoshop, MS Office",83faac1c-c139-4b35-8d51-f1519064edb2,5,high,low,992,0,,3,6,1
52b90865-1109-4c2d-ac32-e35bb543ef76,c5c34cee-006a-4a13-b88a-ccb2e9c492c6,half,c6:aa:d0:c4:98:00,dell,modelb,"8GB, 512GB SSD, AMD Ryzen 5/NVIDIA RTX 2060",Mouse,printer,laser,98680314-c8ec-4a91-81ac-0cc77816ea6f,taylor plc,2024-05-20,910.28,marketing,2 years,2026-05-20,Extended Support,timothy gonzales,Anthony Dunn,94.85.39.90,chicago,chicago,Active,jane smith,windows 11,"Zoom, Visual Studio",f3a4f8e4-22f9-4f2e-94e6-45867bb4dfb7,5,low,high,54,1,,2,6,1
5a5f4218-5bc4-4ca7-b67f-22e754e849a9,5618bbfc-8824-470d-b356-502b5b095a5e,oil,d2:19:83:5c:16:c5,netgear,modela,"32GB, 1TB HDD, AMD Ryzen 7/NVIDIA GTX 1650",Mouse,laptop,ultrabook,3fce5b4b-7861-4800-a077-1307d0581520,mcintosh and sons,2020-09-28,1238.94,hr,1 years,2021-09-28,Basic Support,ashley brown,"Tammy White, Bryan Wilson",83.212.50.238,los angeles,san francisco,In Maintenance,robert brown,windows 10,MS Office,fdfb0b4e-d31a-4b9f-9cd6-af3e1705b0b4,4,high,medium,1384,0,,1,7,0
ee6538eb-dd10-4e8c-bd85-abcb7e30c897,3eb88639-6252-46e2-a4c1-d98f75cc177b,or,6e:fe:d2:91:83:7b,cisco,modeld,"8GB, 512GB SSD, Intel i7/AMD RX 580",Mouse,router,wireless,4b37f080-80e2-4a4b-b86a-880ae6b4f193,sanchez and sons,2023-01-02,1070.3,marketing,2 years,2025-01-02,Extended Support,nicole bright,Michael Garcia,185.41.114.206,chicago,chicago,In Maintenance,jane smith,linux,"Adobe Photoshop, Visual Studio",ad720f97-04e5-4ada-8a8b-43c0ace6080a,2,medium,medium,558,1,,2,6,1
2783c026-7f6c-44ee-b9bb-28de9d8ff07c,f884ab7e-ac50-4513-bf32-36f3b11f7ac9,pay,5c:46:f3:4f:5f:ca,dell,modeld,"32GB, 256GB SSD, Intel i5/AMD RX 580",Printer,router,wired,a30e8982-6111-4f5b-956a-c744c616684e,carr plc,2021-10-11,4780.34,marketing,1 years,2022-10-11,Extended Support,toni davis,Daniel Green,111.128.148.118,chicago,chicago,Decommissioned,jane smith,linux,Zoom,595489f4-e483-4955-a01f-c6c5eb855655,3,medium,medium,1006,0,,1,6,1
cce4846c-51bc-4cca-90f2-3f5bc41cf715,cc8fffe0-45bf-4b77-ba93-581b37e01ef7,important,d2:f6:1b:e5:29:ff,canon,modelb,"8GB, 256GB SSD, Intel i7/NVIDIA GTX 1650",Printer,laptop,gaming,fb26824d-7b3c-468e-9120-3207561c9fba,"wade, haynes and delacruz",2022-04-09,4842.78,it,1 years,2023-04-09,Basic Support,kimberly espinoza,Sara Murray,3.45.46.110,san francisco,chicago,In Maintenance,emily davis,windows 10,"Visual Studio, MS Office, Zoom",b6450db8-e52b-4d1a-a3d0-f162ce40c4e4,0,high,low,826,0,,3,5,0
5404c8dc-a09a-49a4-bdc1-63e670a62036,0ed14c3b-1446-4ff4-b129-7a0ada0bbc1d,ground,4c:17:5d:e0:a8:e0,netgear,modela,"16GB, 1TB HDD, Intel i5/NVIDIA RTX 2060",Keyboard,switch,managed,14a3a9e3-12c6-46e9-8cd8-eecb0ab5eb90,curtis-woods,2023-09-06,542.26,it,3 years,2026-09-06,Extended Support,frank brooks,Jennifer Wilson,106.179.158.207,chicago,san francisco,Active,john doe,linux,"Adobe Photoshop, Zoom",0fc89051-e85b-45ab-a52c-b786cc7089a2,4,medium,medium,311,1,,2,6,0
69dc9a7e-52b1-4095-a087-1f139db52db0,039e968d-ecd7-4a71-82fb-921dc515e904,size,96:89:ea:6a:e7:d5,lenovo,modelb,"32GB, 1TB HDD, Intel i5/AMD RX 580",Monitor,switch,managed,cd322b22-cb7e-4cbd-bc43-f0f2837f31cc,barnes-hall,2022-11-02,3188.79,marketing,2 years,2024-11-02,Basic Support,katie wade dds,Nancy Alexander,120.241.250.37,chicago,san francisco,Active,robert brown,linux,"Visual Studio, Adobe Photoshop",54118f7a-58a1-4714-a627-91af1241fe7e,1,high,high,619,1,,2,6,0
393f59cd-d9a7-4383-b851-145fc82481d8,d2fa617e-3df0-4a3e-8b7a-61c1ce496c8d,again,d6:7e:3e:0b:6c:0c,lenovo,modeld,"8GB, 512GB SSD, Intel i5/AMD RX 580",Monitor,laptop,ultrabook,3a9bee97-29cf-464d-a117-f9d9f0f0d0ef,allen llc,2022-03-13,1689.45,hr,3 years,2025-03-13,Extended Support,brandon holmes,"Thomas Clark, Martha Mcdaniel, Eric Marshall",104.141.119.195,new york,los angeles,Active,emily davis,windows 11,Adobe Photoshop,a531ff35-fc7b-4fcf-8943-db1727fdbe88,2,high,high,853,1,,1,5,0
